,CCS,AdjacencyMatrix_SpAbs_A,AdjacencyMatrix_SpAD_A,ATSC_ATSC7i,MATS_MATS5dv,MATS_MATS6s,GATS_GATS2c,GATS_GATS8dv,GATS_GATS8d,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,BaryszMatrix_VE2_Dzv,Chi_Xp-0dv,Chi_Xp-1dv,DistanceMatrix_VE2_D,GhoseFilter_GhoseFilter,PEOE_VSA_PEOE_VSA7,MolecularId_MID_C,MolecularId_AMID_N
LMST01030100_10-11,229.013,40.85748877,40.85748877,3.412820428,-0.038819481,-0.006923056,0.938598752,0.933864895,0.889285714,0.988138595,1.392578737,0.173380825,22.2917841,14.34831138,0.173384685,0,91.78608415,61.18819789,0.067430307
LMST01030110_1-3,228.775,39.65758466,39.65758466,-23.02744151,0.072177216,-0.006006968,0.905946534,1.010304105,1.101313219,0.991495493,1.279469232,0.176549868,21.63708356,13.82515012,0.176710173,0,118.9781174,59.40430076,0.066063532
LMST01030114_15-16,222.612,39.74790033,39.74790033,-7.613046514,-0.000981251,-0.036875206,0.93742269,0.866496758,0.913541321,0.988000294,1.344244468,0.17628915,21.53227108,13.92339078,0.176302687,0,85.36526253,59.36411815,0.06914368
LMST01030114_5-6,219.76,39.82218028,39.82218028,-17.60568612,0.000415352,-0.012855821,0.931263489,0.85837207,0.907554575,0.987998815,1.326836541,0.176483694,21.53227108,13.96804898,0.17655567,0,91.78608415,59.40598915,0.067289399
LMST01030118_12-13,224.33,39.71828197,39.71828197,-17.252721,-0.014771393,-0.00060415,0.962520974,0.892600738,0.917720789,0.987997647,1.395494614,0.1759947,21.84419034,14.2238676,0.17604489,0,79.95027206,59.32548536,0.070097846
LMST01030138_16-17,225.552,41.64472088,41.64472088,-0.917214432,0.001397804,-0.027265039,0.92962472,0.876907281,0.889625266,0.987999927,1.231049987,0.173569955,22.23937786,14.73988736,0.173714196,0,103.6218962,61.62442692,0.066983094
LMST01030139_0-1,223.375,40.93491345,40.93491345,-21.22049414,0.031495247,0.016388128,0.913404643,1.036902656,1.115478064,0.988141186,1.288916631,0.173678986,22.49889088,14.7238676,0.173896476,0,110.0427179,61.32409327,0.06401207
LMST01031018_18-19,183.863,32.37712324,32.37712324,6.547108899,-0.045781498,-0.010323143,0.928008933,1.159501857,0.559631821,0.993384956,1.547645812,0.196975649,16.23034566,10.50887303,0.196584048,1,63.36049914,45.97442835,0.08607518
LMST01031021_1-2,227.837,41.8019794,41.8019794,-35.13765024,0.003521168,0.016975523,0.925549872,0.872705337,0.909645613,0.987892597,1.35399818,0.171188055,23.53227108,15.06628964,0.17130722,0,110.5456334,63.06525703,0.063169638
LMST01031048_4-5,215.818,39.0577061,39.0577061,-17.61528855,0.004840157,-0.01059396,0.931772275,0.821413816,0.833879954,0.987497737,1.334616302,0.179282898,20.66202759,13.59537018,0.17939087,0,92.28899973,57.57519006,0.069479761
