LMID,SMILES
LMST01010109_9-10_0_-1_ring,CC(C)(O)C(O)CC(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](C[C@H](O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010109_9-10_1_-1_ring,CC(C)(O)C(O)CC(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@@H]4[NH2+][C@]45[C@@H](C[C@H](O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010110_4-5_0_-1_chain,CC1(C)C(=O)C(O)=C[C@@H]2C1=CC[C@@H]1[C@@]2(C)C(=O)C[C@]2(C)[C@@H]([C@@](C)(O)C(=O)[C@H]3[NH2+][C@@H]3C(C)(C)O)[C@H](O)C[C@@]12C
LMST01010110_19-20_0_-1_ring,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](C=C(O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010110_22-23_0_-1_ring,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H]([C@H]5[NH2+][C@]5(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010110_4-5_1_-1_chain,CC1(C)C(=O)C(O)=C[C@@H]2C1=CC[C@@H]1[C@@]2(C)C(=O)C[C@]2(C)[C@@H]([C@@](C)(O)C(=O)[C@@H]3[NH2+][C@H]3C(C)(C)O)[C@H](O)C[C@@]12C
LMST01010110_19-20_1_-1_ring,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@@H]4[NH2+][C@]45[C@@H](C=C(O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010110_22-23_1_-1_ring,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H]([C@@H]5[NH2+][C@@]5(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010111_5-7_0_-1_ring,CC1(C)C(=O)[C@@]2(O)[NH2+][C@@H]2[C@@H]2C1=CC[C@@H]1[C@@]2(C)C(=O)C[C@]2(C)[C@@H]([C@@](C)(O)C(=O)CC(O)C(C)(C)O)[C@H](O)C[C@@]12C
LMST01010111_9-10_0_-1_ring,CC(C)(O)C(O)CC(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](C=C(O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
