,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
291,14601.0,1.0,LMST01010206_12-13_0_0_ring,414.37231,414.37302,8.351,9.95,0.5739053312985388,220.7209,222.1238231,1.0,4321248.375,362923.0721,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",1.0,0.833,1.0,1.0,779244.9,713271.1,902681.0,739645.5,0.9147810662597078,0.8479810662597078,0.9147810662597078,0.9147810662597078,0.898
2345,17106.0,1.0,LMST01010207_12-13_0_0_ring,444.41794,444.419967,10.753,9.84,0.8968474541493126,225.8094,225.2386127,1.0,596314.7196,397689.8652,"395.367207,413.377767",395.367207,395.367207,-2,0.667,0.5,0.333,0.0,161218.3,158906.7,175179.2,,0.8461694908298626,0.7793694908298625,0.7125694908298625,-1.0,0.779
1941,16336.0,1.0,LMST01010211_15-16_0_0_ring,432.38226,432.383583,8.191,9.27,0.8188579011078576,217.7148,216.756402,1.0,359590.7734,95566.4138,"401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","365.320263,383.330823",0.333,0.8,0.6,0.5,40629.43,59509.86,86173.0,59565.34,0.6969715802215716,0.8837715802215717,0.8037715802215716,0.7637715802215715,0.787
2346,17106.0,1.0,LMST01010225_12-13_0_0_ring,444.41794,444.419967,10.753,9.8,0.8779768089184743,225.8094,225.7201678,1.0,596314.7196,397689.8652,"395.367207,413.377767",395.367207,395.367207,-2,0.667,0.5,0.333,0.0,161218.3,158906.7,175179.2,,0.8423953617836949,0.7755953617836949,0.7087953617836948,-1.0,0.776
315,14601.0,1.0,LMST01010239_12-13_0_0_ring,414.37231,414.37302,8.351,10.17,0.4686024432327024,220.7209,221.9286852,1.0,4321248.375,362923.0721,383.33082,383.33082,383.33082,383.33082,0.2,0.667,0.333,0.667,779244.9,713271.1,902681.0,739645.5,-1.0,0.7605204886465405,0.6269204886465405,0.7605204886465405,0.716
327,14601.0,1.0,LMST01010242_12-13_0_0_ring,414.37231,414.37302,8.351,9.96,0.5661722485563097,220.7209,219.6099936,1.0,4321248.375,362923.0721,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",1.0,0.833,1.0,1.0,779244.9,713271.1,902681.0,739645.5,0.913234449711262,0.8464344497112619,0.913234449711262,0.913234449711262,0.897
341,14601.0,1.0,LMST01010242_25-26_0_0_ring,414.37231,414.37302,8.351,10.0,0.5462123882114228,220.7209,219.2960279,1.0,4321248.375,362923.0721,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",1.0,0.833,1.0,1.0,779244.9,713271.1,902681.0,739645.5,0.9092424776422846,0.8424424776422845,0.9092424776422846,0.9092424776422846,0.893
355,14601.0,1.0,LMST01010247_12-13_0_0_ring,414.37231,414.37302,8.351,10.11,0.4971064724174318,220.7209,218.4723444,0.857,4321248.375,362923.0721,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",1.0,0.833,1.0,1.0,779244.9,713271.1,902681.0,739645.5,0.8422212944834864,0.7754212944834864,0.8422212944834864,0.8422212944834864,0.826
372,14601.0,1.0,LMST01010247_14-15_0_0_ring,414.37231,414.37302,8.351,10.17,0.4684983305581585,220.7209,219.376368,1.0,4321248.375,362923.0721,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",1.0,0.833,1.0,1.0,779244.9,713271.1,902681.0,739645.5,0.8936996661116318,0.8268996661116317,0.8936996661116318,0.8936996661116318,0.877
97,14390.0,1.0,LMST01010254_11-12_0_0_ring,412.35516,412.35737,8.462,9.97,0.6155783089514155,215.2404,217.1849248,0.919,493684.2734,80251.3267,363.30461,381.31517,"363.30461,381.31517",-1.0,1.0,0.333,0.667,0.0,97750.9,86595.63,129083.4,,0.8907156617902832,0.6239156617902831,0.7575156617902832,-1.0,0.757
105,14390.0,1.0,LMST01010254_13-14_0_0_ring,412.35516,412.35737,8.462,8.18,1.0,215.2404,216.1320976,1.0,493684.2734,80251.3267,363.30461,381.31517,"363.30461,381.31517",-1.0,1.0,0.333,0.667,0.0,97750.9,86595.63,129083.4,,1.0,0.7332000000000001,0.8668,-1.0,0.867
1943,16336.0,1.0,LMST01010267_12-13_0_0_ring,432.38226,432.383583,8.191,10.31,0.3223095268027051,217.7148,219.0129058,1.0,359590.7734,95566.4138,"401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","365.320263,383.330823",0.333,0.8,0.6,0.5,40629.43,59509.86,86173.0,59565.34,-1.0,0.7844619053605411,0.704461905360541,0.6644619053605411,0.718
1944,16336.0,1.0,LMST01010268_12-13_0_0_ring,432.38226,432.383583,8.191,10.27,0.34108349574653096,217.7148,219.0129058,1.0,359590.7734,95566.4138,"401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","365.320263,383.330823",0.333,0.8,0.6,0.5,40629.43,59509.86,86173.0,59565.34,0.6014166991493062,0.7882166991493063,0.7082166991493062,0.6682166991493063,0.692
2045,16973.0,1.0,LMST01010277_10-11_0_0_ring,442.40552,442.404318,8.562,9.86,0.715006728610065,227.8856,226.3608753,1.0,2158404.8125,239322.6421,-1,411.362118,-1,393.351558,0.0,0.333,0.0,0.2,,511357.4,,530637.7,-1.0,0.6762013457220131,-1.0,0.623001345722013,0.65
1373,16058.0,1.0,LMST01010282_15-16_0_0_ring,428.39066,428.388669,8.682,9.15,1.0,219.0246,219.4387478,1.0,261803.25,58887.8789,397.346469,-1,397.346469,397.346469,0.667,0.0,0.25,0.333,42318.17,,57417.18,44052.88,0.8668,-1.0,0.7000000000000001,0.7332000000000001,0.767
383,14589.0,0.5,LMST01010286_14-15_0_0_ring,414.36908,414.37302,9.228,9.25,1.0,213.5871,214.5314322,1.0,398134.3438,37166.8475,365.32026,-1,365.32026,-1,0.5,0.0,1.0,0.0,145318.8,,168613.2,,0.8,-1.0,1.0,-1.0,0.9
117,14390.0,1.0,LMST01010289_14-15_0_0_ring,412.35516,412.35737,8.462,8.94,1.0,215.2404,219.3321756,0.47,493684.2734,80251.3267,363.30461,381.31517,"363.30461,381.31517",-1.0,1.0,0.333,0.667,0.0,97750.9,86595.63,129083.4,,0.788,-1.0,0.6548,-1.0,0.721
