,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
402,8930.0,1.0,LMST01031049_14-15_0_0_ring,414.37231,414.37302,8.345,9.42,0.8218297609704117,215.0598,217.2845307,0.859,320352.4023,101599.6928,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",0.75,0.5,0.8,0.625,40404.55,65395.55,74963.52,37137.6,0.8079659521940824,0.7079659521940824,0.8279659521940824,0.7579659521940824,0.775
1717,11103.0,1.0,LMST01031083_11-12_0_0_ring,442.40549,442.404318,8.613,9.64,0.8465972557477036,227.2283,226.0975199,1.0,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.7693194511495407,0.6025194511495408,0.6137194511495407,0.6421194511495407,0.657
1730,11103.0,1.0,LMST01040120_13-14_0_0_ring,442.40549,442.404318,8.613,9.78,0.7788066080417209,227.2283,225.6504074,1.0,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.7557613216083442,-1.0,0.6001613216083442,0.6285613216083442,0.661
1736,11103.0,1.0,LMST01040121_13-14_0_0_ring,442.40549,442.404318,8.613,9.22,1.0,227.2283,226.7642429,1.0,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.8,0.6332,0.6444000000000001,0.6728000000000001,0.688
1897,11240.0,1.0,LMST01040122_13-14_0_0_ring,444.42126,444.419967,10.993,10.07,0.894813115146095,225.0784,227.9732584,0.745,3181862.4375,873863.3764,"395.367207,413.377767",395.367207,"395.367207,413.377767","395.367207,413.377767",0.182,0.286,0.429,0.571,523395.4,819970.9,847109.1,495813.5,-1.0,-1.0,0.648562623029219,0.7053626230292189,0.677
1898,11240.0,1.0,LMST01040125_11-12_0_0_ring,444.42126,444.419967,10.993,9.51,0.6287773835802216,225.0784,225.6976412,1.0,3181862.4375,873863.3764,"395.367207,413.377767",395.367207,"395.367207,413.377767","395.367207,413.377767",0.182,0.286,0.429,0.571,523395.4,819970.9,847109.1,495813.5,-1.0,0.6401554767160443,0.6973554767160444,0.7541554767160443,0.697
1758,11103.0,1.0,LMST01040131_13-14_0_0_ring,442.40549,442.404318,8.613,7.8,0.9454357420420374,227.2283,229.1309209,0.949,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.7686871484084075,0.6018871484084075,0.6130871484084075,0.6414871484084075,0.656
1761,11103.0,1.0,LMST01040131_2-27_0_0_chain,442.40549,442.404318,8.613,8.13,1.0,227.2283,227.2757223,1.0,2927290.5938,1055848.738,400.35737,400.35737,400.35737,"400.35737,382.34681",0.75,0.667,0.667,0.636,410311.6,460681.1,841341.3,429138.9,0.9,0.8668,0.8668,0.8544,0.872
1899,11240.0,1.0,LMST01040133_11-12_0_0_ring,444.42126,444.419967,10.993,9.32,0.5342955262513835,225.0784,225.6976412,1.0,3181862.4375,873863.3764,"395.367207,413.377767",395.367207,"395.367207,413.377767","395.367207,413.377767",0.182,0.286,0.429,0.571,523395.4,819970.9,847109.1,495813.5,-1.0,0.6212591052502767,0.6784591052502768,0.7352591052502767,0.678
1900,11240.0,1.0,LMST01040134_10-11_0_0_ring,444.42126,444.419967,10.993,9.62,0.6775566685964245,225.0784,225.588222,1.0,3181862.4375,873863.3764,"395.367207,413.377767",395.367207,"395.367207,413.377767","395.367207,413.377767",0.182,0.286,0.429,0.571,523395.4,819970.9,847109.1,495813.5,0.6083113337192849,0.6499113337192849,0.7071113337192849,0.7639113337192849,0.682
1765,11103.0,1.0,LMST01040136_11-12_0_0_ring,442.40549,442.404318,8.613,9.94,0.7004404415603663,227.2283,227.8401301,1.0,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.7400880883120733,-1.0,-1.0,0.6128880883120733,0.676
