,mz,diagIonsInChian,diagIonsInRing,characteristicMass,RT,CCS,Standard
LMST01020016_29-30_0_0_ring,738.712216,,"367.33591,398.37811,707.67002","367.33591,398.37811,707.67002",1272.36377,299.4651891,
LMST01020017_29-30_0_0_ring,734.680918,,"367.33591,398.37811,703.63872","367.33591,398.37811,703.63872",1352.981689,299.8733469,
LMST01020017_5-6_0_0_chain,734.680918,"114.12772,282.24274,366.33664,369.35156,650.58702",,"114.12772,282.24274,366.33664,369.35156,650.58702",1253.864746,299.0838597,
LMST01020017_8-9_0_0_chain,734.680918,"154.15902,242.21144,366.33664,369.35156,610.55572",,"154.15902,242.21144,366.33664,369.35156,610.55572",1254.931152,299.5209896,
LMST01020018_11-12_0_0_chain,730.649619,"194.19031,198.14884,362.30534,369.35156,566.49313",,"194.19031,198.14884,362.30534,369.35156,566.49313",1326.522949,299.4932981,
LMST01020018_14-15_0_0_chain,730.649619,"158.11755,234.22161,362.30534,369.35156,526.46183",,"158.11755,234.22161,362.30534,369.35156,526.46183",1326.794678,298.399047,
LMST01020018_29-30_0_0_ring,730.649619,,"367.33591,398.37811,699.60742","367.33591,398.37811,699.60742",1411.937744,298.8219671,
LMST01020018_5-6_0_0_chain,730.649619,"114.12772,278.21144,362.30534,369.35156,646.55572",,"114.12772,278.21144,362.30534,369.35156,646.55572",1325.694336,298.4650836,
LMST01020018_8-9_0_0_chain,730.649619,"154.15902,238.18014,362.30534,369.35156,606.52443",,"154.15902,238.18014,362.30534,369.35156,606.52443",1324.930908,298.6087956,
LMST01020019_11-12_0_0_chain,726.618321,"192.17467,196.1332,358.27404,369.35156,564.47748",,"192.17467,196.1332,358.27404,369.35156,564.47748",1360.932373,297.7779532,
LMST01020019_14-15_0_0_chain,726.618321,"156.1019,232.20596,358.27404,369.35156,524.44618",,"156.1019,232.20596,358.27404,369.35156,524.44618",1360.763428,298.2024603,
LMST01020019_17-18_0_0_chain,726.618321,"116.0706,272.23726,358.27404,369.35156,484.41488",,"116.0706,272.23726,358.27404,369.35156,484.41488",1367.092773,297.8978999,
LMST01020019_2-3_0_0_chain,726.618321,"316.22709,358.27404,369.35156,684.57137",,"316.22709,358.27404,369.35156,684.57137",1365.124146,300.5446614,
LMST01020019_29-30_0_0_ring,726.618321,,"367.33591,398.37811,695.57613","367.33591,398.37811,695.57613",1442.791504,298.1210638,
LMST01020019_5-6_0_0_chain,726.618321,"112.11207,276.19579,358.27404,369.35156,644.54008",,"112.11207,276.19579,358.27404,369.35156,644.54008",1361.033325,298.2815377,
LMST01020019_8-9_0_0_chain,726.618321,"152.14337,236.16449,358.27404,369.35156,604.50878",,"152.14337,236.16449,358.27404,369.35156,604.50878",1360.00293,297.1702552,
LMST01020020_31-32_0_0_ring,764.727865,,"367.33591,398.37811,733.68567","367.33591,398.37811,733.68567",1322.008057,298.1408478,
LMST01020020_8-9_0_0_chain,764.727865,"156.17467,270.24274,369.35156,396.38358,638.58702",,"156.17467,270.24274,369.35156,396.38358,638.58702",1218.223022,297.3086476,
LMST01020021_21-22_0_0_ring,624.571373,,"367.33591,398.37811,593.52918","367.33591,398.37811,593.52918",1280.244385,300.1279235,
LMST01020021_4-5_0_0_chain,624.571373,"100.11207,186.14884,256.22709,369.35156,554.49313",,"100.11207,186.14884,256.22709,369.35156,554.49313",1152.037598,297.4969888,
LMST01020022_22-23_0_0_ring,638.587022,,"367.33591,398.37811,607.54483","367.33591,398.37811,607.54483",1285.733887,290.89772,
