LMID,MZ,diagIonsInChian,diagIonsInRing,MS2,RT,CCS,Standard
LMST01031233_5-6_0_0_chain,474.357762,"114.12772,390.26387,372.25331,354.24275",,"114.12772,390.26387,372.25331,354.24275",300.5196498614894,224.205402,
LMST01031234_13-14_0_0_ring,476.373411,,"445.331211,427.320651,409.310091","445.331211,427.320651,409.310091",595.361043585099,223.064932,
LMST01031234_5-6_0_0_chain,476.373411,"114.12772,392.27952,374.26896,356.2584",,"114.12772,392.27952,374.26896,356.2584",372.53206715778924,223.9272585,
LMST01031235_13-14_0_0_ring,442.367934,,"411.325734,393.315174","411.325734,393.315174",551.8786099069711,219.0099742,
LMST01031235_5-6_0_0_chain,442.367934,"114.12772,358.27404,340.26348",,"114.12772,358.27404,340.26348",380.8109043257829,219.3375738,
LMST01031236_13-14_0_0_ring,524.358153,,"493.31595300000004,475.30539300000004,457.29483300000004","493.31595300000004,475.30539300000004,457.29483300000004",512.4283366966679,228.5277647,
LMST01031237_0-1_0_0_chain,442.367934,"428.35228,410.34172",,"428.35228,410.34172",572.1729103907654,233.1583929,
LMST01031237_12-13_0_0_ring,442.367934,,"411.325734,393.315174","411.325734,393.315174",545.1282821570894,225.3958503,
LMST01031238_0-1_0_0_chain,518.383974,"504.36832,486.35776",,"504.36832,486.35776",577.4800653256644,238.1812662,
LMST01031238_14-15_0_0_ring,518.383974,,"487.341774,469.331214","487.341774,469.331214",560.3971250678953,236.0264365,
LMST01031239_0-1_0_0_chain,486.394146,"472.3785,454.36794",,"472.3785,454.36794",492.07600621964696,238.7188302,
LMST01031239_23-24_0_0_ring,486.394146,,"455.351946,437.341386","455.351946,437.341386",502.8802913780156,235.8361397,
LMST01031240_0-1_0_0_chain,442.404318,"428.38867,410.37811",,"428.38867,410.37811",525.3787256305714,233.8749261,
LMST01031240_2-3_0_0_chain,442.404318,"112.11207,360.32607,342.31551",,"112.11207,360.32607,342.31551",499.9188990719683,224.8056029,
LMST01031241_1-10_0_0_chain,458.399232,"318.24274,300.23218,282.22162,170.19032",,"318.24274,300.23218,282.22162,170.19032",565.9576343948835,230.4134359,
LMST01031241_17-18_0_0_ring,458.399232,,"427.357032,409.346472,391.335912","427.357032,409.346472,391.335912",533.4373434275423,225.4092562,
LMST01031242_3-4_0_0_ring,460.414881,,"429.372681,411.362121","429.372681,411.362121",601.9488884197642,229.0919593,
LMST01031243_17-18_0_0_ring,444.383583,,"413.341383,395.330823","413.341383,395.330823",583.199086494755,229.3360017,
LMST01031244_0-1_0_0_chain,442.367934,"428.35228,410.34172",,"428.35228,410.34172",397.95566358240615,230.2906456,
LMST01031244_14-15_0_0_ring,442.367934,,"411.325734,393.315174","411.325734,393.315174",352.07882070270193,227.1591132,
LMST01031245_0-1_0_0_chain,504.404709,"490.38906,472.3785,454.36794",,"490.38906,472.3785,454.36794",487.884341471036,240.4909193,
LMST01031246_0-1_0_0_chain,460.414881,"446.39923,428.38867,410.37811",,"446.39923,428.38867,410.37811",591.0907966426787,230.526375,
LMST01031247_5-6_0_0_chain,460.414881,"114.12772,376.32099,358.31043,340.29987",,"114.12772,376.32099,358.31043,340.29987",553.4046562512668,228.3614144,
LMST01031248_0-1_0_0_chain,458.399232,"444.38358,426.37302,408.36246",,"444.38358,426.37302,408.36246",545.7300896111825,227.7354022,
LMST01031248_2-3_0_0_chain,458.399232,"112.11207,376.32099,358.31043,340.29987",,"112.11207,376.32099,358.31043,340.29987",545.7714923566281,225.7487685,
LMST01031249_5-6_0_0_chain,476.409795,"114.12772,392.3159,374.30534,356.29478",,"114.12772,392.3159,374.30534,356.29478",552.9367409280345,226.4241653,
